,LocRfc_A,LocRfc_D,amc_A,amc_D,avg_cc_A,avg_cc_D,ca_A,ca_D,cam_A,cam_D,cbm_A,cbm_D,cbo_A,cbo_D,ce_A,ce_D,dam_A,dam_D,dit_A,dit_D,ic_A,ic_D,lcom3_A,lcom3_D,lcom_A,lcom_D,loc_A,loc_D,max_cc_A,max_cc_D,mfa_A,mfa_D,moa_A,moa_D,noc_A,noc_D,npm_A,npm_D,rfc_A,rfc_D,wmc_A,wmc_D
ant-1.6,-0.328772636,0.328772636,-0.202816901,0.202816901,-0.205231388,0.205231388,-0.001609658,0.001609658,0.280885312,-0.280885312,-0.07082495,0.07082495,-0.251509054,0.251509054,-0.280885312,0.280885312,-0.064386318,0.064386318,-0.014889336,0.014889336,-0.039839034,0.039839034,-0.064386318,0.064386318,-0.286519115,0.286519115,-0.327162978,0.327162978,-0.237022133,0.237022133,0.082897384,-0.082897384,-0.089738431,0.089738431,0.024949698,-0.024949698,-0.263983903,0.263983903,-0.355331992,0.355331992,-0.296981891,0.296981891
ant-1.6,-0.226961771,0.226961771,-0.117907445,0.117907445,-0.10945674,0.10945674,0.035814889,-0.035814889,0.194768612,-0.194768612,-0.036217304,0.036217304,-0.090140845,0.090140845,-0.136418511,0.136418511,-0.100201207,0.100201207,-0.046277666,0.046277666,-0.063581489,0.063581489,-0.021730382,0.021730382,-0.098189135,0.098189135,-0.224547284,0.224547284,-0.146478873,0.146478873,0.025352113,-0.025352113,-0.125955734,0.125955734,-0.02334004,0.02334004,-0.154124748,0.154124748,-0.231790744,0.231790744,-0.173440644,0.173440644
ant-1.6,-0.339544513,0.339544513,-0.265838509,0.265838509,-0.09689441,0.09689441,-0.113043478,0.113043478,0.260869565,-0.260869565,-0.063354037,0.063354037,-0.22815735,0.22815735,-0.233126294,0.233126294,-0.086128364,0.086128364,0.007867495,-0.007867495,-0.067080745,0.067080745,-0.057971014,0.057971014,-0.273291925,0.273291925,-0.342857143,0.342857143,-0.150310559,0.150310559,0.084057971,-0.084057971,-0.220703934,0.220703934,0.004968944,-0.004968944,-0.255486542,0.255486542,-0.336231884,0.336231884,-0.283643892,0.283643892
ant-1.6,-0.291511387,0.291511387,-0.241407867,0.241407867,-0.180124224,0.180124224,-0.154037267,0.154037267,0.241821946,-0.241821946,-0.038923395,0.038923395,-0.198757764,0.198757764,-0.241821946,0.241821946,-0.007039337,0.007039337,0.06873706,-0.06873706,-0.033954451,0.033954451,-0.010766046,0.010766046,-0.247204969,0.247204969,-0.291097308,0.291097308,-0.226915114,0.226915114,0.083229814,-0.083229814,-0.150310559,0.150310559,-0.072877847,0.072877847,-0.185507246,0.185507246,-0.290269151,0.290269151,-0.213664596,0.213664596
ant-1.6,-0.264279625,0.264279625,-0.141517477,0.141517477,-0.141091219,0.141091219,-0.085677749,0.085677749,0.248508099,-0.248508099,-0.051577153,0.051577153,-0.234015345,0.234015345,-0.242540494,0.242540494,-0.077578858,0.077578858,0.008525149,-0.008525149,-0.079283887,0.079283887,0.040494459,-0.040494459,-0.255754476,0.255754476,-0.269394714,0.269394714,-0.167092924,0.167092924,0.083120205,-0.083120205,-0.109974425,0.109974425,-0.038363171,0.038363171,-0.270247229,0.270247229,-0.272378517,0.272378517,-0.270673487,0.270673487
ant-1.6,-0.32193159,0.32193159,-0.241046278,0.241046278,-0.125150905,0.125150905,-0.115090543,0.115090543,0.305432596,-0.305432596,-0.086921529,0.086921529,-0.204426559,0.204426559,-0.173440644,0.173440644,-0.040241449,0.040241449,0.034607646,-0.034607646,-0.090140845,0.090140845,-0.036619718,0.036619718,-0.281690141,0.281690141,-0.326358149,0.326358149,-0.166599598,0.166599598,0.15694165,-0.15694165,-0.142857143,0.142857143,-0.016096579,0.016096579,-0.276458753,0.276458753,-0.316297787,0.316297787,-0.303018109,0.303018109
ant-1.6,-0.268008048,0.268008048,-0.190744467,0.190744467,-0.204828974,0.204828974,-0.03501006,0.03501006,0.179879276,-0.179879276,0,0,-0.179879276,0.179879276,-0.166197183,0.166197183,-0.057545272,0.057545272,0.113078471,-0.113078471,-0.004426559,0.004426559,-0.03138833,0.03138833,-0.261569416,0.261569416,-0.27082495,0.27082495,-0.222937626,0.222937626,0.169014085,-0.169014085,-0.039839034,0.039839034,-0.052716298,0.052716298,-0.162977867,0.162977867,-0.259557344,0.259557344,-0.229376258,0.229376258
ant-1.6,-0.298136646,0.298136646,-0.205383023,0.205383023,-0.160248447,0.160248447,-0.069979296,0.069979296,0.22194617,-0.22194617,-0.069565217,0.069565217,-0.204554865,0.204554865,-0.264596273,0.264596273,-0.031469979,0.031469979,0.011180124,-0.011180124,-0.078674948,0.078674948,-0.080745342,0.080745342,-0.255900621,0.255900621,-0.298550725,0.298550725,-0.202898551,0.202898551,0.029399586,-0.029399586,-0.151966874,0.151966874,-0.000828157,0.000828157,-0.23436853,0.23436853,-0.326708075,0.326708075,-0.225258799,0.225258799
ant-1.6,-0.310559006,0.310559006,-0.167701863,0.167701863,-0.113043478,0.113043478,-0.092753623,0.092753623,0.281573499,-0.281573499,-0.080745342,0.080745342,-0.18426501,0.18426501,-0.221532091,0.221532091,-0.125465839,0.125465839,-0.104347826,0.104347826,-0.088612836,0.088612836,0.045134576,-0.045134576,-0.290269151,0.290269151,-0.315942029,0.315942029,-0.161490683,0.161490683,-0.012008282,0.012008282,-0.213664596,0.213664596,-0.060041408,0.060041408,-0.273706004,0.273706004,-0.290269151,0.290269151,-0.297308489,0.297308489
ant-1.6,-0.244245524,0.244245524,-0.170929241,0.170929241,-0.124040921,0.124040921,-0.011082694,0.011082694,0.231031543,-0.231031543,-0.035379369,0.035379369,-0.226342711,0.226342711,-0.280051151,0.280051151,-0.094202899,0.094202899,-0.038363171,0.038363171,-0.033248082,0.033248082,-0.011508951,0.011508951,-0.092497869,0.092497869,-0.245098039,0.245098039,-0.153026428,0.153026428,0.022591645,-0.022591645,-0.138959932,0.138959932,0.016624041,-0.016624041,-0.162404092,0.162404092,-0.268542199,0.268542199,-0.179880648,0.179880648
ant-1.6,-0.269215292,0.269215292,-0.141247485,0.141247485,-0.100201207,0.100201207,0.026156942,-0.026156942,0.255533199,-0.255533199,-0.122334004,0.122334004,-0.230985915,0.230985915,-0.29416499,0.29416499,-0.103822938,0.103822938,-0.116700201,0.116700201,-0.117907445,0.117907445,0.015291751,-0.015291751,-0.18028169,0.18028169,-0.267605634,0.267605634,-0.170221328,0.170221328,-0.014889336,0.014889336,-0.150503018,0.150503018,0.022937626,-0.022937626,-0.222535211,0.222535211,-0.279678068,0.279678068,-0.249899396,0.249899396
