,k<>ant-1.7,m<>ant-1.7,r<>ant-1.7,k<>ant-1.6,m<>ant-1.6,r<>ant-1.6,k<>ant-1.5,m<>ant-1.5,r<>ant-1.5,k<>camel-1.6,m<>camel-1.6,r<>camel-1.6,k<>camel-1.4,m<>camel-1.4,r<>camel-1.4,k<>camel-1.2,m<>camel-1.2,r<>camel-1.2,k<>ivy-2.0,m<>ivy-2.0,r<>ivy-2.0,k<>jedit-4.2,m<>jedit-4.2,r<>jedit-4.2,k<>jedit-4.1,m<>jedit-4.1,r<>jedit-4.1,k<>jedit-4.0,m<>jedit-4.0,r<>jedit-4.0,k<>synapse-1.1,m<>synapse-1.1,r<>synapse-1.1,k<>synapse-1.2,m<>synapse-1.2,r<>synapse-1.2,k<>xalan-2.5,m<>xalan-2.5,r<>xalan-2.5,k<>xalan-2.6,m<>xalan-2.6,r<>xalan-2.6,k<>xerces-1.3,m<>xerces-1.3,r<>xerces-1.3
BRR,20,4,1.363243167,8,2,1.670171026,16,4,2.984711792,16,5,0.858843997,7,5,2.858205663,1,5,4.618171917,9,4,3.668362083,6,4,3.640432039,6,1,1.925314657,5,5,2.19559256,12,5,3.643963712,16,0,2.209861325,5,6,2.898790889,11,6,1.83894509,7,6,3.408484979
BRR,10,1,4.949114051,18,1,2.889158398,16,0,0.296316815,20,4,0.471816457,18,3,2.442143606,4,6,4.421735695,17,5,1.194243111,7,2,2.202386375,15,5,4.177578688,17,6,3.35390941,17,4,1.893092381,15,5,0.934821564,7,5,3.454660328,9,6,0.909518132,13,5,1.02256947
DTR,3,1,1.043228549,14,3,1.109447897,13,3,1.372718878,17,5,3.312311735,7,4,4.220947867,9,3,0.535123565,12,6,4.591203909,10,6,2.589047396,6,3,4.2741617,19,5,2.151547939,16,1,2.119358618,12,3,1.723569755,15,6,3.476241894,6,0,1.809178102,20,6,3.786180959
DTR,6,3,4.926701611,1,1,0.299746198,9,5,1.711187635,11,6,2.900417644,10,4,1.545160067,3,4,0.42441042,13,5,4.338782905,15,3,0.730916363,12,4,3.802249202,12,1,1.153916489,14,3,2.379376015,12,3,1.670998012,9,1,3.980159467,17,3,4.168253965,5,3,2.77717877
DTR,1,3,1.167759615,1,2,4.641193345,19,5,3.211271838,16,6,1.962446801,8,3,3.327750745,2,5,0.973025877,10,2,2.410063137,3,4,4.018796516,18,5,4.272265433,10,1,4.002801322,1,3,1.866073891,5,4,1.496960166,1,6,1.346460279,17,6,1.128348541,18,6,2.204827762
DTR,15,6,4.816025579,20,3,0.431361357,10,0,2.852537591,4,5,2.985464425,5,4,1.805329658,9,5,4.975931662,8,5,1.749834099,5,5,0.26222554,17,0,2.18400717,9,6,4.470289954,19,1,2.633486164,6,2,4.322611447,18,2,4.697831729,6,6,2.021135536,12,0,0.870573909
DTR,8,3,4.022325347,11,6,2.372655769,11,0,4.672811268,18,4,4.220305548,20,6,4.302522832,11,2,0.378964553,6,6,2.384213892,17,3,1.953210178,19,6,2.180613104,3,4,4.404014054,2,6,4.055915609,15,3,2.53674854,12,3,2.967793973,1,5,3.95238128,10,3,1.776588541
DTR,11,5,1.311622248,9,2,1.248519515,16,3,2.319710444,8,3,4.622928446,4,6,1.607876068,6,2,1.408530354,4,5,1.752166437,1,4,4.687702121,4,0,0.998339256,10,2,1.827153326,16,4,1.102753121,12,4,1.658540478,14,4,4.506243796,6,4,3.211741835,20,4,0.117754323
DTR,10,4,1.709881007,14,6,3.419603569,13,5,0.875360305,5,4,1.215750455,1,1,2.396449644,20,5,0.140615825,8,1,3.287171631,10,6,4.607746297,20,4,4.173374498,14,5,1.431169336,16,4,0.395788122,9,6,4.403253646,16,3,2.579096642,4,0,2.835235639,9,5,4.447953435
DTR,15,6,1.170219431,5,4,0.55288545,5,2,0.519637037,4,6,4.015367768,4,0,1.12727471,2,4,3.691889293,11,1,4.802032405,9,2,4.553988789,8,6,3.933954774,14,0,0.758103156,5,2,4.449879791,12,5,3.168183341,12,4,0.892738709,5,4,3.932051886,14,1,4.099899522
